Complex,logFC,AveExpr,t,P.Value,adj.P.Val,B,Lineage
MSL,0.018311154726873433,0.3698017822041551,0.4718485599108263,0.6371312603144268,0.9267983728894058,-5.775750423641783,Ampullary Carcinoma
Menin-MLL,0.14282665726785299,0.532817426829269,2.436710909614752,0.014984024494681171,0.15457608079435156,-3.1433491408388083,Ampullary Carcinoma
NSL,0.027841714668886238,0.690279032429991,1.0348115324753338,0.30099114149788375,0.6335626088546457,-5.384098943980872,Ampullary Carcinoma
NURF,-0.011059127099300155,0.430541240740741,-0.2437216211591041,0.8074932354294481,0.9500752172199124,-5.8511649090499835,Ampullary Carcinoma
NoRC,0.14817851351985492,0.2806835276856367,2.0417020783692643,0.0414264102695558,0.25447652022727135,-3.956574865530793,Ampullary Carcinoma
NuA4/TIP60,0.0646067565790876,0.7442379977416442,1.70131505355461,0.08917488362619228,0.38345199959262677,-4.543170198461813,Ampullary Carcinoma
NuRD (Mi-2/NuRD),0.009664227089763536,0.23344356913279152,0.4169441384596915,0.6768030404290232,0.9267983728894058,-5.7982932752157454,Ampullary Carcinoma
PBAF,0.06464327208194454,0.3440632730803972,1.185329003247451,0.2361510688594555,0.5641386644975881,-5.2298885928597985,Ampullary Carcinoma
PCAF complex,0.0650746747041292,0.4083963325654916,1.3415421746069534,0.18002967460393965,0.5276491818009996,-5.047798050483527,Ampullary Carcinoma
PR-DUB,0.026883038263753288,0.19108004058717235,0.5600076999024675,0.5755916256958663,0.8839442823186519,-5.733730326281337,Ampullary Carcinoma
PRC1 (canonical and variant PCGF complexes),0.010987541615041061,0.0774263117434509,0.7297532879061622,0.4657009917074738,0.7416719497563472,-5.632616596597964,Ampullary Carcinoma
PRC2,0.004267704428205724,0.2068612206504066,0.13648960977815328,0.8914599561588514,0.9583194528707653,-5.870002272989736,Ampullary Carcinoma
Piccolo NuA4,0.12649449678520772,0.7310030581752486,1.833496047537319,0.06700701917587656,0.36016272807033656,-4.327963899575195,Ampullary Carcinoma
RSF,0.1137768281143262,0.25863721200632345,1.6457316353178764,0.10011326489840232,0.3913518536937545,-4.628887818509144,Ampullary Carcinoma
SAGA,0.019110085364809182,0.3105263303613374,0.35928321179843514,0.7194542550450358,0.9267983728894058,-5.818970473445464,Ampullary Carcinoma
SET1C/COMPASS,0.05484093640184543,0.589783839656728,1.0169357887374004,0.30941429734761766,0.6335626088546457,-5.401027268556649,Ampullary Carcinoma
SETDB1-ATF7IP/KAP1,-0.07022879470648086,0.2953410291228548,-0.9017582652592718,0.367388613614575,0.6868569732794229,-5.503040606939154,Ampullary Carcinoma
SRCAP,0.047221783490749826,0.8039866308943082,1.1408083291666338,0.25420544723894684,0.5753070648039323,-5.277673711603105,Ampullary Carcinoma
STAGA/TFTC,0.027489934727743838,0.252413731020777,0.8697227053294122,0.3846473435891472,0.6891598239305554,-5.529241361439737,Ampullary Carcinoma
SUV39H1/2-HP1,0.03530969027809064,0.10173277260252934,1.4546520469061281,0.146059382854962,0.4831194971356435,-4.9019504981901685,Ampullary Carcinoma
WICH / B-WICH,0.11796254211769103,0.3771652369105695,1.3169403644428925,0.1881411213362389,0.5276491818009996,-5.077963896709563,Ampullary Carcinoma
mSin3A/HDAC,0.00987777375762098,0.30224111428184264,0.34146950251704355,0.7328173180986,0.9267983728894058,-5.824737526543309,Ampullary Carcinoma
ncBAF (non-canonical BAF / bBAF),-0.0013254054128906873,0.35936621971996374,-0.029315408464397737,0.9766185151426219,0.985433197334076,-5.878212805778427,Ampullary Carcinoma
Lineage,NA,NA,NA,NA,NA,NA,Anaplastic Thyroid Cancer
ACF,0.04707626945002148,0.2940597214083108,0.7373503033849358,0.4610713114260543,0.9748891655985605,-5.503052584470708,Anaplastic Thyroid Cancer
ATAC,-0.056233124144892434,0.2862401943992777,-1.1679868587641473,0.24307274286530298,0.7465805673720021,-5.1337146010111265,Anaplastic Thyroid Cancer
BAF (canonical/cBAF),-0.04248884611794649,0.28103164933152663,-1.4087777347072672,0.15919191864094437,0.570437708463384,-4.854631081398101,Anaplastic Thyroid Cancer
BCOR complex,-0.03060878797860703,0.07688398925835595,-1.4163152433372421,0.15697475625722343,0.570437708463384,-4.845056121890506,Anaplastic Thyroid Cancer
BRCA1-A,0.006354926541513228,0.23973389480036114,0.154777814251033,0.8770257275332767,0.9748891655985605,-5.737161494241857,Anaplastic Thyroid Cancer
CAF-1,0.007562575646423244,0.9690249844625101,0.400936119586382,0.6885473373343365,0.9748891655985605,-5.675531514605619,Anaplastic Thyroid Cancer
CHRAC,-0.006012646204443611,0.26206692106594376,-0.11701061449581837,0.9068736424172656,0.9748891655985605,-5.7417864221949175,Anaplastic Thyroid Cancer
DAXX-ATRX,-0.14400679639956177,0.25018074947967495,-1.8683909580812184,0.061981229049114885,0.570437708463384,-4.177868800975465,Anaplastic Thyroid Cancer
DNMT1-UHRF1,0.12671629735513643,0.7253934436802176,1.5024588186056094,0.13327427217527643,0.570437708463384,-4.732014458337584,Anaplastic Thyroid Cancer
Elongator,-0.11858885486403833,0.7476231388617897,-1.737688602828064,0.08255395897145723,0.570437708463384,-4.389525822169425,Anaplastic Thyroid Cancer
FACT,0.006496129761091581,0.9846571827461597,0.51799277810047,0.604570570182422,0.9748891655985605,-5.627075278892323,Anaplastic Thyroid Cancer
G9a/GLP,-0.0741897712299599,0.1813339326617885,-1.22336369844904,0.22146221518874953,0.7325288656243253,-5.074134700045318,Anaplastic Thyroid Cancer
HAT1 complex,0.011628017291511947,0.5070069141011739,0.38506069201469784,0.7002691087377717,0.9748891655985605,-5.681152914648721,Anaplastic Thyroid Cancer
HBO1,-0.019333896056232636,0.1272006936982836,-0.6977988177937764,0.4854548741250314,0.9748891655985605,-5.528614751192633,Anaplastic Thyroid Cancer
HIRA,-0.041659406063351424,0.42351438993766954,-0.7594013632438054,0.4477800816897718,0.9748891655985605,-5.488189929128961,Anaplastic Thyroid Cancer
INO80,0.03771193290649193,0.6562516235772355,0.8558844177815939,0.39225369697415713,0.9748891655985605,-5.418016063902386,Anaplastic Thyroid Cancer
LSD1-CoREST,0.0044391877303820385,0.15410883043179746,0.12484184459958614,0.9006722536352847,0.9748891655985605,-5.740933043909936,Anaplastic Thyroid Cancer
MLL1/MLL2 (KMT2A/KMT2B),0.02017311944069937,0.4921214235772354,0.44272023688789364,0.6580577554242519,0.9748891655985605,-5.6596509814383165,Anaplastic Thyroid Cancer
MLL3/MLL4 (KMT2C/KMT2D),-0.008170096095711047,0.3775775624299912,-0.2026884093067931,0.839417189879397,0.9748891655985605,-5.72944500640109,Anaplastic Thyroid Cancer
MOZ/MORF,-0.01926257053465074,0.1292105213351399,-0.5872401962060093,0.5571665077930927,0.9748891655985605,-5.592601566953439,Anaplastic Thyroid Cancer
MSL,0.06295739472687348,0.3698017822041551,1.9156225955305057,0.055679913990271244,0.570437708463384,-4.0976352739611475,Anaplastic Thyroid Cancer
Menin-MLL,0.026567777267853025,0.532817426829269,0.5352125136037426,0.592614337147837,0.9748891655985605,-5.618905989350042,Anaplastic Thyroid Cancer
NSL,0.005343219059129805,0.690279032429991,0.23450092647252468,0.8146410528830951,0.9748891655985605,-5.723178674433832,Anaplastic Thyroid Cancer
NURF,0.05750450607143157,0.430541240740741,1.4964127090464971,0.13484159319578531,0.570437708463384,-4.740165198501837,Anaplastic Thyroid Cancer
NoRC,0.01802896605644048,0.2806835276856367,0.2933284989136557,0.7693280603856947,0.9748891655985605,-5.70918889743065,Anaplastic Thyroid Cancer
NuA4/TIP60,0.03399735267664834,0.7442379977416442,1.057129537956474,0.2906914988247458,0.8333156299642713,-5.244716457789123,Anaplastic Thyroid Cancer
NuRD (Mi-2/NuRD),-0.004268142276090107,0.23344356913279152,-0.21743323923930938,0.8279122528911661,0.9748891655985605,-5.7266539923402595,Anaplastic Thyroid Cancer
PBAF,-0.09566648694244567,0.3440632730803972,-2.0713415050804773,0.038566595990349124,0.570437708463384,-3.8190397183553246,Anaplastic Thyroid Cancer
